a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
93	199	0	1	0	0	0	0	0	0	0	0
120	28	0	1	0	0	0	0	0	0	0	0
153	0	0	1	0	0	0	0	0	0	0	0
138	224	0	1	0	0	0	0	0	0	0	0
149	7	0	1	0	0	0	0	0	0	0	0
169	32	0	1	0	0	0	0	0	0	0	0
148	127	0	1	0	0	0	0	0	0	0	0
40	62	0	1	0	0	0	0	0	0	0	0
40	30	0	1	0	0	0	0	0	0	0	0
45	30	0	1	0	0	0	0	0	0	0	0
160	28	0	1	0	0	0	0	0	0	0	0
94	60	0	1	0	0	0	0	0	0	0	0
137	12	0	1	0	0	0	0	0	0	0	0
153	46	0	1	0	0	0	0	0	0	0	0
149	4	0	1	0	0	0	0	0	0	0	0
137	0	0	1	0	0	0	0	0	0	0	0
181	3	0	1	0	0	0	0	0	0	0	0
160	157	0	1	0	0	0	0	0	0	0	0
163	124	0	1	0	0	0	0	0	0	0	0
133	7	0	1	0	0	0	0	0	0	0	0
68	30	0	1	0	0	0	0	0	0	0	0
153	0	0	1	0	0	0	0	0	0	0	0
148	195	0	1	0	0	0	0	0	0	0	0
127	46	0	1	0	0	0	0	0	0	0	0
110	0	0	1	0	0	0	0	0	0	0	0
99	120	0	1	0	0	0	0	0	0	0	0
190	255	0	1	0	0	0	0	0	0	0	0
21	53	0	1	0	0	0	0	0	0	0	0
92	30	0	1	0	0	0	0	0	0	0	0
131	7	0	1	0	0	0	0	0	0	0	0
163	0	0	1	0	0	0	0	0	0	0	0
116	60	0	1	0	0	0	0	0	0	0	0
30	199	0	1	0	0	0	0	0	0	0	0
104	56	0	1	0	0	0	0	0	0	0	0
156	227	0	1	0	0	0	0	0	0	0	0
17	255	0	1	0	0	0	0	0	0	0	0
158	229	0	1	0	0	0	0	0	0	0	0
151	17	0	1	0	0	0	0	0	0	0	0
66	223	0	1	0	0	0	0	0	0	0	0
38	60	0	0	1	0	0	0	0	0	0	0
106	240	0	0	1	0	0	0	0	0	0	0
66	253	0	0	1	0	0	0	0	0	0	0
94	195	0	0	1	0	0	0	0	0	0	0
